TOTAL PLAN FOR GROUPS 

Day Time         VIIb                                             VIIc                                   VIIIc                                       VIIIb                                      VIIa                                   VIIIa
Thursday 08:00   ----                                             ----                                   ----                                        ----                                       J.Angielski, Paula Michalak, R102      ----
Thursday 08:50   ----                                             ----                                   Matematyka, Ola Kubiak, R101                ----                                       Informatyka, Maciej Michalak, R201     ----
Thursday 09:45   J.Polski, Maria Mróz, R302                       Chemia, Marcelina Witkowska, R202      Biologia, Alojzy Kamiński, R101             Historia, Patrycja Chmielewska, R203       Geografia, Eliza Zakrzewska, R102      WF, Anna Borkowska, S2
Thursday 10:35   J.Polski, Maria Mróz, R302                       Chemia, Marcelina Witkowska, R202      WF, Anna Borkowska, S1                      WF, Dorian Duda, S2                        Fizyka, Kryspin Wróblewski, R102       Matematyka, Bartłomiej Kwiatkowski, R303
Thursday 11:35   Fizyka, Kryspin Wróblewski, R101                 Godzina wychowawcza, Maria Mróz, R202  Informatyka, Maciej Michalak, R201          Matematyka, Ola Kubiak, R203               Chemia, Marcelina Witkowska, R102      Geografia, Eliza Zakrzewska, R303
Thursday 12:25   J.Angielski, Paula Michalak, R101                Fizyka, Kryspin Wróblewski, R202       Chemia, Marcelina Witkowska, R103           WF, Dorian Duda, S2                        J.Polski, Konstanty Tomaszewski, R102  Informatyka, Maciej Michalak, R201
Thursday 13:15   Matematyka, Bartłomiej Kwiatkowski, R101         Historia, Patrycja Chmielewska, R102   J.Angielski, Paula Michalak, R103           Matematyka, Ola Kubiak, R203               ----                                   Chemia, Marcelina Witkowska, R303
Thursday 14:05   WF, Anna Borkowska, S2                           J.Polski, Maria Mróz, R102             ----                                        Fizyka, Kryspin Wróblewski, R203           ----                                   Biologia, Alojzy Kamiński, R303
Friday 08:00     ----                                             Muzyka, Alek Sobczak, R102             ----                                        ----                                       ----                                   ----
Friday 08:50     ----                                             Matematyka, Ola Kubiak, R102           ----                                        ----                                       J.Polski, Konstanty Tomaszewski, R203  Geografia, Eliza Zakrzewska, R303
Friday 09:45     Chemia, Marcelina Witkowska, R302                Matematyka, Ola Kubiak, R102           Historia, Patrycja Chmielewska, R103        ----                                       WF, Dorian Duda, S1                    Fizyka, Kryspin Wróblewski, R303
Friday 10:35     WF, Anna Borkowska, S2                           J.Polski, Maria Mróz, R202             Geografia, Eliza Zakrzewska, R103           Matematyka, Ola Kubiak, R302               WF, Dorian Duda, S1                    Matematyka, Bartłomiej Kwiatkowski, R303
Friday 11:35     J.Polski, Maria Mróz, R101                       Geografia, Eliza Zakrzewska, R102      J.Angielski, Paula Michalak, R103           Chemia, Marcelina Witkowska, R202          Muzyka, Alek Sobczak, R203             Matematyka, Bartłomiej Kwiatkowski, R303
Friday 12:25     Matematyka, Bartłomiej Kwiatkowski, R101         ----                                   J.Polski, Maria Mróz, R103                  Matematyka, Ola Kubiak, R302               Fizyka, Kryspin Wróblewski, R203       Informatyka, Maciej Michalak, R201
Friday 13:15     Informatyka, Maciej Michalak, R201               ----                                   J.Angielski, Paula Michalak, R103           WF, Dorian Duda, S2                        J.Polski, Konstanty Tomaszewski, R203  Biologia, Alojzy Kamiński, R303
Friday 14:05     Muzyka, Alek Sobczak, R101                       ----                                   ----                                        Biologia, Alojzy Kamiński, R302            ----                                   ----

