TOTAL PLAN FOR GROUPS 

Day Time         VIIb                                             VIIIc                                       VIIIb                                      VIIIa                                              VIIa                                   VIIc
Wednesday 13:15  J.Polski, Maria Mróz, R202                       ----                                        Fizyka, Kryspin Wróblewski, R103           Geografia, Eliza Zakrzewska, R102                  ----                                   ----
Wednesday 14:05  ----                                             ----                                        J.Polski, Konstanty Tomaszewski, R103      J.Angielski, Paula Michalak, R102                  ----                                   ----
Thursday 08:00   ----                                             Historia, Patrycja Chmielewska, R203        ----                                       WF, Anna Borkowska, S2                             ----                                   ----
Thursday 08:50   J.Angielski, Paula Michalak, R202                J.Polski, Maria Mróz, R203                  Matematyka, Ola Kubiak, R103               WF, Anna Borkowska, S2                             Chemia, Marcelina Witkowska, R101      ----
Thursday 09:45   WF, Anna Borkowska, S2                           Matematyka, Ola Kubiak, R203                Informatyka, Maciej Michalak, R201         Fizyka, Kryspin Wróblewski, R103                   Geografia, Eliza Zakrzewska, R101      ----
Thursday 10:35   Godzina wychowawcza, Patrycja Chmielewska, R202  Fizyka, Kryspin Wróblewski, R203            Godzina wychowawcza, Paula Michalak, R102  Chemia, Marcelina Witkowska, R103                  WF, Dorian Duda, S2                    Matematyka, Ola Kubiak, R302
Thursday 11:35   Informatyka, Maciej Michalak, R201               Historia, Patrycja Chmielewska, R203        Chemia, Marcelina Witkowska, R302          Geografia, Eliza Zakrzewska, R103                  WF, Dorian Duda, S2                    Fizyka, Kryspin Wróblewski, R303
Thursday 12:25   Historia, Patrycja Chmielewska, R202             J.Polski, Maria Mróz, R101                  Matematyka, Ola Kubiak, R102               WF, Anna Borkowska, S1                             Informatyka, Maciej Michalak, R201     WF, Dorian Duda, S2
Thursday 13:15   Geografia, Eliza Zakrzewska, R202                ----                                        Historia, Patrycja Chmielewska, R102       J.Polski, Maria Mróz, R302                         ----                                   WF, Dorian Duda, S2
Thursday 14:05   ----                                             ----                                        ----                                       ----                                               ----                                   Biologia, Alojzy Kamiński, R303
Friday 08:00     ----                                             ----                                        J.Angielski, Paula Michalak, R303          Fizyka, Kryspin Wróblewski, R302                   ----                                   ----
Friday 08:50     ----                                             ----                                        Matematyka, Ola Kubiak, R102               Matematyka, Bartłomiej Kwiatkowski, R302           J.Polski, Konstanty Tomaszewski, R203  ----
Friday 09:45     ----                                             ----                                        Historia, Patrycja Chmielewska, R303       J.Polski, Maria Mróz, R102                         Fizyka, Kryspin Wróblewski, R203       WF, Dorian Duda, S2
Friday 10:35     ----                                             Matematyka, Ola Kubiak, R101                WF, Dorian Duda, S1                        J.Angielski, Paula Michalak, R103                  Biologia, Alojzy Kamiński, R302        Geografia, Eliza Zakrzewska, R203
Friday 11:35     Chemia, Marcelina Witkowska, R102                Geografia, Eliza Zakrzewska, R303           Informatyka, Maciej Michalak, R201         Historia, Patrycja Chmielewska, R101               Fizyka, Kryspin Wróblewski, R302       Godzina wychowawcza, Maria Mróz, R203
Friday 12:25     Matematyka, Bartłomiej Kwiatkowski, R101         J.Angielski, Paula Michalak, R202           ----                                       Historia, Patrycja Chmielewska, R103               Matematyka, Ola Kubiak, R302           Informatyka, Maciej Michalak, R201
Friday 13:15     Biologia, Alojzy Kamiński, R101                  J.Polski, Maria Mróz, R202                  ----                                       Godzina wychowawcza, Bartłomiej Kwiatkowski, R103  J.Polski, Konstanty Tomaszewski, R102  Chemia, Marcelina Witkowska, R302
Friday 14:05     Matematyka, Bartłomiej Kwiatkowski, R101         J.Angielski, Paula Michalak, R303           ----                                       ----                                               ----                                   Fizyka, Kryspin Wróblewski, R203

