VIb, Monday 09:45, J.Polski, Urszula Sokołowska, R101,
IVb, Tuesday 10:35, J.Polski, Urszula Sokołowska, R102,
IVb, Tuesday 11:35, J.Angielski, Kacper Wójcik, R102,
IVb, Tuesday 12:25, J.Angielski, Kacper Wójcik, R102,
VIb, Tuesday 13:15, Historia, Magdalena Mazur, R102,
VIb, Wednesday 08:50, J.Angielski, Kacper Wójcik, R102,
VIb, Wednesday 11:35, Matematyka, Mikołaj Wróblewski, R102,
VIb, Thursday 08:00, J.Polski, Urszula Sokołowska, R102,
VIb, Thursday 08:50, Matematyka, Mikołaj Wróblewski, R102,
VIb, Thursday 09:45, Muzyka, Eryk Kołodziej, R102,
VIb, Thursday 10:35, Godzina wychowawcza, Joanna Zalewska, R102,
VIb, Thursday 11:35, Plastyka, Joanna Zalewska, R102,
IVa, Friday 10:35, J.Polski, Urszula Sokołowska, R102,
IVa, Friday 11:35, Historia, Magdalena Mazur, R102,
IVa, Friday 12:25, J.Polski, Urszula Sokołowska, R102,
IVa, Friday 13:15, J.Angielski, Kacper Wójcik, R102,
Vb, Monday 08:50, Matematyka, Mikołaj Wróblewski, R103,
Vb, Monday 10:35, Matematyka, Mikołaj Wróblewski, R103,
Vb, Monday 12:25, J.Angielski, Kacper Wójcik, R103,
Vb, Tuesday 09:45, Muzyka, Eryk Kołodziej, R103,
Vb, Tuesday 11:35, Historia, Magdalena Mazur, R103,
Vb, Wednesday 08:00, Matematyka, Mikołaj Wróblewski, R103,
Vb, Wednesday 09:45, Matematyka, Mikołaj Wróblewski, R103,
IVb, Wednesday 10:35, J.Angielski, Kacper Wójcik, R103,
IVb, Wednesday 11:35, Historia, Magdalena Mazur, R103,
IVb, Wednesday 12:25, Historia, Magdalena Mazur, R103,
IVb, Wednesday 13:15, J.Polski, Urszula Sokołowska, R103,
IVb, Thursday 09:45, J.Angielski, Kacper Wójcik, R103,
IVb, Thursday 10:35, J.Polski, Urszula Sokołowska, R103,
IVb, Thursday 11:35, Matematyka, Mikołaj Wróblewski, R103,
IVb, Thursday 12:25, Matematyka, Mikołaj Wróblewski, R103,
IVb, Thursday 13:15, Matematyka, Mikołaj Wróblewski, R103,
IVb, Friday 09:45, Godzina wychowawcza, Urszula Sokołowska, R103,
IVb, Friday 10:35, Matematyka, Mikołaj Wróblewski, R103,
IVb, Friday 11:35, Plastyka, Joanna Zalewska, R103,
Vb, Friday 12:25, Godzina wychowawcza, Magdalena Mazur, R103,
Vb, Friday 13:15, J.Polski, Urszula Sokołowska, R103,
Va, Monday 08:00, Matematyka, Mikołaj Wróblewski, R202,
Va, Monday 09:45, J.Angielski, Kacper Wójcik, R202,
Va, Monday 10:35, J.Angielski, Kacper Wójcik, R202,
Va, Monday 11:35, Historia, Magdalena Mazur, R202,
IVa, Monday 12:25, Plastyka, Joanna Zalewska, R202,
IVa, Monday 13:15, Historia, Magdalena Mazur, R202,
IVa, Tuesday 08:00, J.Angielski, Kacper Wójcik, R202,
IVa, Tuesday 08:50, Matematyka, Mikołaj Wróblewski, R202,
IVa, Tuesday 09:45, Matematyka, Mikołaj Wróblewski, R202,
VIa, Tuesday 10:35, Matematyka, Mikołaj Wróblewski, R202,
VIa, Tuesday 11:35, J.Polski, Urszula Sokołowska, R202,
VIa, Tuesday 12:25, Godzina wychowawcza, Lucjan Pietrzak, R202,
VIa, Wednesday 08:00, J.Angielski, Kacper Wójcik, R202,
VIa, Wednesday 09:45, J.Polski, Urszula Sokołowska, R202,
VIa, Wednesday 10:35, Matematyka, Mikołaj Wróblewski, R202,
IVa, Wednesday 11:35, J.Angielski, Kacper Wójcik, R202,
IVa, Wednesday 12:25, J.Angielski, Kacper Wójcik, R202,
IVa, Wednesday 13:15, Godzina wychowawcza, Mikołaj Wróblewski, R202,
IVa, Thursday 08:00, Matematyka, Mikołaj Wróblewski, R202,
IVa, Thursday 08:50, J.Polski, Urszula Sokołowska, R202,
IVa, Thursday 09:45, Matematyka, Mikołaj Wróblewski, R202,
IVa, Thursday 10:35, Matematyka, Mikołaj Wróblewski, R202,
IVa, Thursday 11:35, J.Angielski, Kacper Wójcik, R202,
Va, Thursday 12:25, J.Polski, Urszula Sokołowska, R202,
Va, Friday 08:00, Matematyka, Mikołaj Wróblewski, R202,
Va, Friday 08:50, J.Angielski, Kacper Wójcik, R202,
Va, Friday 09:45, Godzina wychowawcza, Kacper Wójcik, R202,
Va, Friday 11:35, J.Polski, Urszula Sokołowska, R202,
VIa, Monday 08:50, J.Angielski, Kacper Wójcik, R203,
VIa, Monday 09:45, Matematyka, Mikołaj Wróblewski, R203,
VIa, Monday 10:35, J.Polski, Urszula Sokołowska, R203,
VIa, Monday 11:35, J.Angielski, Kacper Wójcik, R203,
VIa, Monday 13:15, J.Angielski, Kacper Wójcik, R203,
VIa, Tuesday 08:50, J.Angielski, Kacper Wójcik, R203,
Va, Tuesday 09:45, Plastyka, Joanna Zalewska, R203,
Va, Tuesday 10:35, Muzyka, Eryk Kołodziej, R203,
Va, Tuesday 11:35, Matematyka, Mikołaj Wróblewski, R203,
Va, Tuesday 12:25, J.Polski, Urszula Sokołowska, R203,
Va, Tuesday 13:15, Matematyka, Mikołaj Wróblewski, R203,
Va, Wednesday 08:50, Matematyka, Mikołaj Wróblewski, R203,
Va, Wednesday 09:45, J.Angielski, Kacper Wójcik, R203,
Va, Wednesday 10:35, Historia, Magdalena Mazur, R203,
Va, Wednesday 12:25, J.Polski, Urszula Sokołowska, R203,
Va, Wednesday 13:15, J.Angielski, Kacper Wójcik, R203,
Va, Thursday 09:45, J.Polski, Urszula Sokołowska, R203,
Vb, Thursday 10:35, J.Angielski, Kacper Wójcik, R203,
Vb, Thursday 11:35, Historia, Magdalena Mazur, R203,
VIa, Thursday 12:25, Historia, Magdalena Mazur, R203,
VIa, Thursday 13:15, J.Polski, Urszula Sokołowska, R203,
VIa, Friday 09:45, Plastyka, Joanna Zalewska, R203,
VIa, Friday 10:35, Historia, Magdalena Mazur, R203,
VIa, Friday 11:35, Matematyka, Mikołaj Wróblewski, R203,
VIa, Friday 12:25, Matematyka, Mikołaj Wróblewski, R203,
Va, Monday 08:50, Informatyka, Lucjan Pietrzak, I301,
Vb, Monday 09:45, Informatyka, Lucjan Pietrzak, I301,
IVa, Monday 10:35, Informatyka, Lucjan Pietrzak, I301,
Vb, Monday 11:35, Informatyka, Lucjan Pietrzak, I301,
IVb, Monday 13:15, Informatyka, Lucjan Pietrzak, I301,
IVb, Tuesday 08:50, Informatyka, Lucjan Pietrzak, I301,
VIb, Tuesday 10:35, Informatyka, Lucjan Pietrzak, I301,
VIb, Wednesday 09:45, Informatyka, Lucjan Pietrzak, I301,
IVa, Wednesday 10:35, Informatyka, Lucjan Pietrzak, I301,
VIa, Friday 08:00, Informatyka, Lucjan Pietrzak, I301,
VIa, Friday 08:50, Informatyka, Lucjan Pietrzak, I301,
Va, Friday 10:35, Informatyka, Lucjan Pietrzak, I301,
IVb, Monday 09:45, WF, Eliza Chmielewska, S1,
IVa, Monday 11:35, WF, Eliza Chmielewska, S1,
VIa, Monday 12:25, WF, Eliza Chmielewska, S1,
VIa, Tuesday 08:00, WF, Eliza Chmielewska, S1,
VIa, Tuesday 09:45, WF, Eliza Chmielewska, S1,
IVa, Tuesday 10:35, WF, Eliza Chmielewska, S1,
VIb, Tuesday 11:35, WF, Eliza Chmielewska, S1,
VIb, Tuesday 12:25, WF, Eliza Chmielewska, S1,
VIb, Wednesday 08:00, WF, Eliza Chmielewska, S1,
VIa, Wednesday 08:50, WF, Eliza Chmielewska, S1,
IVb, Wednesday 09:45, WF, Eliza Chmielewska, S1,
VIb, Wednesday 10:35, WF, Eliza Chmielewska, S1,
Va, Wednesday 11:35, WF, Eliza Chmielewska, S1,
Va, Thursday 08:50, WF, Eliza Chmielewska, S1,
Va, Thursday 10:35, WF, Eliza Chmielewska, S1,
Va, Thursday 11:35, WF, Eliza Chmielewska, S1,
IVa, Thursday 12:25, WF, Eliza Chmielewska, S1,
IVa, Thursday 13:15, WF, Eliza Chmielewska, S1,
Vb, Friday 08:50, WF, Eliza Chmielewska, S1,
Vb, Friday 09:45, WF, Eliza Chmielewska, S1,
Vb, Friday 10:35, WF, Eliza Chmielewska, S1,
Vb, Friday 11:35, WF, Eliza Chmielewska, S1,
IVb, Friday 12:25, WF, Eliza Chmielewska, S1,
IVb, Friday 13:15, WF, Eliza Chmielewska, S1,
