TOTAL PLAN FOR GROUPS 

Day Time         VIb                                         Vb                                          VIa                                         IVa                                            IVb                                            Va
Wednesday 09:45  Informatyka, Lucjan Pietrzak, I301          Matematyka, Mikołaj Wróblewski, R103        J.Polski, Urszula Sokołowska, R202          ----                                           WF, Eliza Chmielewska, S1                      J.Angielski, Kacper Wójcik, R203
Wednesday 10:35  WF, Eliza Chmielewska, S1                   J.Polski, Urszula Sokołowska, R101          Matematyka, Mikołaj Wróblewski, R202        Informatyka, Lucjan Pietrzak, I301             J.Angielski, Kacper Wójcik, R103               Historia, Magdalena Mazur, R203
Wednesday 11:35  Matematyka, Mikołaj Wróblewski, R102        J.Polski, Urszula Sokołowska, R101          ----                                        J.Angielski, Kacper Wójcik, R202               Historia, Magdalena Mazur, R103                WF, Eliza Chmielewska, S1
Wednesday 12:25  ----                                        ----                                        ----                                        J.Angielski, Kacper Wójcik, R202               Historia, Magdalena Mazur, R103                J.Polski, Urszula Sokołowska, R203
Wednesday 13:15  ----                                        ----                                        ----                                        Godzina wychowawcza, Mikołaj Wróblewski, R202  J.Polski, Urszula Sokołowska, R103             J.Angielski, Kacper Wójcik, R203
Thursday 08:00   J.Polski, Urszula Sokołowska, R102          J.Angielski, Kacper Wójcik, R101            ----                                        Matematyka, Mikołaj Wróblewski, R202           ----                                           ----
Thursday 08:50   Matematyka, Mikołaj Wróblewski, R102        J.Angielski, Kacper Wójcik, R101            ----                                        J.Polski, Urszula Sokołowska, R202             ----                                           WF, Eliza Chmielewska, S1
Thursday 09:45   Muzyka, Eryk Kołodziej, R102                Plastyka, Joanna Zalewska, R101             ----                                        Matematyka, Mikołaj Wróblewski, R202           J.Angielski, Kacper Wójcik, R103               J.Polski, Urszula Sokołowska, R203
Thursday 10:35   Godzina wychowawcza, Joanna Zalewska, R102  J.Angielski, Kacper Wójcik, R203            Muzyka, Eryk Kołodziej, R101                Matematyka, Mikołaj Wróblewski, R202           J.Polski, Urszula Sokołowska, R103             WF, Eliza Chmielewska, S1
Thursday 11:35   Plastyka, Joanna Zalewska, R102             Historia, Magdalena Mazur, R203             J.Polski, Urszula Sokołowska, R101          J.Angielski, Kacper Wójcik, R202               Matematyka, Mikołaj Wróblewski, R103           WF, Eliza Chmielewska, S1
Thursday 12:25   J.Angielski, Kacper Wójcik, R101            ----                                        Historia, Magdalena Mazur, R203             WF, Eliza Chmielewska, S1                      Matematyka, Mikołaj Wróblewski, R103           J.Polski, Urszula Sokołowska, R202
Thursday 13:15   ----                                        ----                                        J.Polski, Urszula Sokołowska, R203          WF, Eliza Chmielewska, S1                      Matematyka, Mikołaj Wróblewski, R103           ----
Friday 08:00     ----                                        ----                                        Informatyka, Lucjan Pietrzak, I301          ----                                           ----                                           Matematyka, Mikołaj Wróblewski, R202
Friday 08:50     ----                                        WF, Eliza Chmielewska, S1                   Informatyka, Lucjan Pietrzak, I301          ----                                           ----                                           J.Angielski, Kacper Wójcik, R202
Friday 09:45     Matematyka, Mikołaj Wróblewski, R101        WF, Eliza Chmielewska, S1                   Plastyka, Joanna Zalewska, R203             ----                                           Godzina wychowawcza, Urszula Sokołowska, R103  Godzina wychowawcza, Kacper Wójcik, R202
Friday 10:35     J.Angielski, Kacper Wójcik, R101            WF, Eliza Chmielewska, S1                   Historia, Magdalena Mazur, R203             J.Polski, Urszula Sokołowska, R102             Matematyka, Mikołaj Wróblewski, R103           Informatyka, Lucjan Pietrzak, I301
Friday 11:35     J.Angielski, Kacper Wójcik, R101            WF, Eliza Chmielewska, S1                   Matematyka, Mikołaj Wróblewski, R203        Historia, Magdalena Mazur, R102                Plastyka, Joanna Zalewska, R103                J.Polski, Urszula Sokołowska, R202
Friday 12:25     J.Angielski, Kacper Wójcik, R101            Godzina wychowawcza, Magdalena Mazur, R103  Matematyka, Mikołaj Wróblewski, R203        J.Polski, Urszula Sokołowska, R102             WF, Eliza Chmielewska, S1                      ----
Friday 13:15     Matematyka, Mikołaj Wróblewski, R101        J.Polski, Urszula Sokołowska, R103          ----                                        J.Angielski, Kacper Wójcik, R102               WF, Eliza Chmielewska, S1                      ----

